ProgramNumber,Category,ProgramName,PlaceName,Image,StartDay,EndDay,TargetAudience,Fee
57,전시/미술,[경교장 작은전시] '임시정부 첫 국무위원회 경교장에서 열리다' 개최,경교장,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e16befa6396b4fa39617e1861db1f9d8&thumb=Y,2021-12-03,2022-04-24,총 30명 이용 가능 - 서울시 공공예약 사전접수자(20명) 현장접수(10명) (※코로나 백신 접종완료자 PCR 음성확인자 예외자만 가능),무료
58,전시/미술,경춘선숲길 갤러리 <노원마을 미술 탐험전 00미술관 아카이빙전>,경춘선숲길 갤러리,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=af21c1e53acb4355bfde8cf804e84c3c&thumb=Y,2022-02-25,2022-03-13,전 연령,
59,전시/미술,화신백화점 사라진 종로의 랜드마크,공평도시유적전시관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=78fff005fcc84adf8c285e364c41705a&thumb=Y,2021-07-23,2022-03-20,전체,
60,전시/미술,조선의 승려 장인,국립중앙박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5045ab2fb3264d468f7b4c4d0b67d9b2&thumb=Y,2021-12-07,2022-03-06,전체관람,성인: 5000원 (만 25세 이상 - 만 60세 미만) 청소년 및 어린이: 3000원 (만 7세 이상 - 만 25세 미만) / 무료 특별 할인에 관한 내용은 온라인 예약 홈페이지(인터파크)나 현장 발권 창구에서 확인할 수 있습니다.
61,전시/미술,漆 아시아를 칠하다,국립중앙박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b66f7836fd94443cb5fdb32e2095d616&thumb=Y,2021-12-21,2022-03-20,전체관람,성인: 3000원 (만 25세 이상 - 만 60세 미만) 청소년 및 어린이: 2000원 (만 7세 이상 - 만 25세 미만) / 무료 특별 할인에 관한 내용은 온라인 예약 홈페이지(인터파크)나 현장발권 창구에서 확인할 수 있습니다.
62,전시/미술,프랑스 국립 자연사박물관 특별전 - 바다미지로의탐험,북서울꿈의숲,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0486dfd544ba4788b5817e1e201c0ae4&thumb=Y,2021-09-25,2022-03-06,전체 관람가 ,대인 (중학생이상~) 입장권 : 12000원 소인 (만 36개월~ 초등학생) 입장권 : 15000원
63,전시/미술,공공미술 시민아이디어 구현 문화비축기지 <모래-시간> 시민개방 ,문화비축기지,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3220d04e4f6c4b62b5ed02e89ace7ce9&thumb=Y,2021-11-24,2024-11-23,시민,
64,전시/미술,[종로문화재단 박노수미술관] 개관 8주년 기념전시 <화가의 비망록>,종로구립 박노수미술관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4a58372fd6a74351834e29f8223e7ef3&thumb=Y,2021-10-12,2022-08-28,전체,어른 3000원   청소년 1800원   어린이 1200원
65,전시/미술,[서울문화재단]  전시 / 마？소리,통의동 보안여관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44df2e99415c4ef7a800dfe6af313615&thumb=Y,2022-03-08,2022-03-27,서울시민,무료
66,전시/미술,2022 노원 지역예술가 작품전시회,상계예술마당,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6e4bcdb40dea40e585daacf0b55ddfcf&thumb=Y,2022-02-22,2022-03-05,전 연령,
67,전시/미술,서리풀청년아트갤러리 <어떤 순간의 작은 픽셀>,서리풀청년아트갤러리,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ab495fd914d2468aa79818f8405d05bb&thumb=Y,2022-02-08,2022-03-05,전체,
68,전시/미술,MMCA 이건희컬렉션 특별전 : 한국미술명작,국립현대미술관 서울,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b843330a9b8b41338e5d899e7be565b2&thumb=Y,2021-07-21,2022-03-13,제한 없음,
69,전시/미술,지역공예 기획전시 <이 땅의 풀로 엮는 초경공예>,서울공예박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d5a69617ce994d88a6ddefd3bc27f7ea&thumb=Y,2022-03-01,2022-08-28,모든 시민,
70,전시/미술,아카이브 기획전시 <한미금속공예워크숍: 참가신청 링크가 열렸습니다.>,서울공예박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c9fa51b477db4374b32bfaa48c65ff88&thumb=Y,2022-02-08,2022-05-20,모든 시민,
71,전시/미술,크래프트 윈도우 #4. <공예 온색溫色>,서울공예박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=657b72e1e8e94ad4ac769217d23a2d63&thumb=Y,2022-01-29,2022-03-13,모든 시민,
72,전시/미술,《다음 세대를 위한 집》,서울도시건축전시관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=df63c7edbf1e4316a429df4178ab2378&thumb=Y,2021-12-17,2022-03-27,시민 누구나,무료
73,전시/미술,2021 시민예술가 전시지원사업 <예술일지> 별도신청,서울생활문화센터 서교,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=28678a8021624229b88101322fcd62e7&thumb=Y,2021-12-21,2022-03-30,전 연령,
74,전시/미술,제1회 체부동 생활문화전시회 <내 생애 첫 작품展> 전시 안내,서울생활문화센터 체부,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6f8f2794fb7c4bbfa8e4aff25d63b326&thumb=Y,2022-02-08,2022-04-17,누구나,
75,전시/미술,서울 멋쟁이,서울생활사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3244c05cddc4434c8b5d4d1be5747a55&thumb=Y,2021-11-19,2022-03-27,모두,
76,전시/미술,PIECE BY PEACE,ADM 갤러리,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b4da9bf5104f4969879524e9570a13a4&thumb=Y,2022-03-03,2022-03-16,시민 누구나,없음
