ProgramNumber,Category,ProgramName,PlaceName,Image,StartDay,EndDay,TargetAudience,Fee
26,문화교양/강좌,<몽촌토성투어프로그램>“출동! 몽촌토성 꾸러기 수비대” (오프라인),몽촌역사관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0f113df285c34e799af2ce07384e81ee&thumb=Y,2022-03-05,2022-03-26,초등학생 동반가족(앱활용),
27,문화교양/강좌,<서울역사탐구교실>“지도로 찾아가는 옛 서울” (온라인),몽촌역사관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=16ec177cd0574fa1b4e57f5bc7498946&thumb=Y,2022-03-29,2022-04-27,초등 3~5학년 동반가족,
28,문화교양/강좌,2022년 우리 가족 박물관 여행(주말),서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7db36210c0cf4b6f9a0b490fe02e663f&thumb=Y,2022-03-05,2022-06-11,초등학생 가족,
29,문화교양/강좌,[가족] 2022년 상반기 우리가족 박물관 여행 교육생 모집,서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e71f14e3e6104f3d9550188c2331d4de&thumb=Y,2022-02-21,2022-06-10,초등학교(3~6학년) 자녀를 둔 가족 (미취학 1~2학년 초등학생 중고생 동반 불가),
30,문화교양/강좌,제 32기 고등학생 인턴제 ,서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0e62f4f5d6346d5b305bbfa868f45c7&thumb=Y,2022-02-12,2022-03-05,청소년 ,무료
31,문화교양/강좌,제 30기 중학생 인턴제 ,서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4abaf4ee155340f7b30a267f8c2c2fb2&thumb=Y,2022-02-19,2022-03-12,청소년 ,
32,문화교양/강좌,서울역사박물관대학 ,서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cad44d27773142b0a1f1146194a7d6e2&thumb=Y,2022-01-01,2022-12-21,성인,
33,문화교양/강좌,SEMU-YEOL LECTURE,서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1e8205a32b174811845c47e5d02e56a2&thumb=Y,2021-11-12,2022-10-31,국내외 거주 외국인 및 교포 해외에 서울을 알리고자 하는 시민,
34,문화교양/강좌,미생물 : 관찰과 배양,서울하수도과학관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e68911f02cf4509aacdb42a4249cf7f&thumb=Y,2022-03-05,2022-03-26,초등학생 3학년 이상,
35,문화교양/강좌,2022 상반기 세종예술아카데미 예술교양강좌 <뽐나는 클래스>,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=af7414944c7b4a8fa8e82790a9566afc&thumb=Y,2022-03-14,2022-06-09,문화예술 교양을 쌓고자 하는 누구나,강좌별 상이
