group,placeName,lineNumber,station,address,lat,lng
유적지,연산군묘,우이신설경전철,북한산우이역,서울 도봉구 방학동,37.66144 ,127.02257 
박물관/기념관,연세대학교 중앙박물관,2호선,신촌역,서울 서대문구 신촌동 134,,
공연장,연우소극장,4호선,혜화역,서울 종로구 혜화동  창경궁로35길 21,,
기타,연희문학창작촌,경의선,신촌역,서울 서대문구 증가로2길 6-7,37.57212 ,126.93131 
문화예술회관,영등포아트홀,"2호선, 5호선",영등포구청역,서울 영등포구 당산동3가,37.52607 ,126.90009 
공연장,영산아트홀,9호선,국회의사당역,서울 영등포구 여의도동 12,37.52904 ,126.92427 
공연장,영산양재홀,"3호선, 신분당선",양재역,서울 서초구 양재동 20-4,37.48053 ,127.03841 
박물관/기념관,영인문학관,3호선,경복궁역,서울 종로구 평창30길 81,,
유적지,영휘원,1호선,청량리역,서울 동대문구 청량리동 204-2,,
공연장,예빛섬,"3호선, 9호선",고속터미널역,서울 서초구 올림픽대로 683,,
미술관,예술의 기쁨,"6호선, 경의선",효창공원앞역,서울 용산구 효창원로70길 35,,
공연장,예술의전당,3호선,남부터미널역,서울 서초구 남부순환로 2406,37.47901 ,127.01163 
공연장,예스24 라이브홀,5호선,광나루역,서울 광진구 광장동 319-33,37.54580 ,127.10790 
문화원,예지원,3호선,동대입구역,서울 중구 장충단로 72,37.55259 ,127.00307 
미술관,예화랑,3호선,압구정역,서울 강남구 신사동 532-8,,
유적지,옛홍릉터,6호선,고려대역,서울 동대문구 회기로 57,37.59313 ,127.04366 
공연장,오류아트홀,1호선,오류동역,서울 구로구 경인로20가길 38,,
유적지,오위장김춘영가옥,"3호선, 4호선",충무로역,서울 중구 퇴계로 34길 28,37.56035 ,126.99450 
공연장,오유아트홀,3호선,매봉역,서울 강남구 남부순환로378길 34-9,,
기타,온조대왕문화체육관,5호선,고덕역,서울 강동구 고덕동 296,,
공연/전시장,올리비아박 갤러리,수인분당선,압구정로데오역,서울 강남구 도산대로81길 40,,
유적지,올림픽공원세계평화의문,8호선,몽촌토성역,서울 송파구 위례성대로 51,37.51828 ,127.11534 
기타,올림픽기념국민생활관,4호선,혜화역,서울 종로구 성균관로 91,,
문화원,올림픽스포츠센터,"5호선, 9호선",올림픽공원역,서울 송파구 방이동 89-12,,
기타,옹기테마공원 체험장,6호선,봉화산역,서울 중랑구 신내로21길 116,,
기타,용산 꿈나무 종합타운,"6호선, 경의선",효창공원앞역,서울 용산구 백범로 329,,
공연장,용산 더줌아트센터,경의선,한남역,서울 용산구 독서당로 111,37.53579 ,127.00702 
공연장,용산 동자아트홀,"1호선, 4호선, 공항철도",서울역,서울 용산구 한강대로 372,37.55161 ,126.97282 
미술관,용산 아트스페이스 루,4호선,신용산역,서울 용산구 한강대로44길 5,,
공연장,용산 일신홀,6호선,한강진역,서울 용산구 한남대로 98,37.53720 ,127.00546 
공연/전시장,용산공예관,6호선,한강진역,서울 용산구 이태원로 274,37.53898 ,127.00206 
박물관/기념관,용산공원 갤러리,"4호선, 6호선",삼각지역,서울 용산구 한강로1가 1-1,,
공연장,용산꿈나무종합타운,"6호선, 경의선",효창공원앞역,서울 용산구 백범로 329,,
박물관/기념관,용산도시기억전시관,4호선,신용산역,서울 한강로3가 64-1,37.52647 ,126.96659 
기타,용산문화체육센터,"6호선, 경의선",효창공원앞역,서울 용산구 문배동 19-2,,
문화예술회관,용산아트홀,6호선,녹사평역,서울 용산구 이태원동,37.53275 ,126.99048 
공연장,우란2경,2호선,성수역,서울 성동구 연무장7길 11,37.54384 ,127.05432 
공연장,우리금융아트홀,"5호선, 9호선",올림픽공원역,서울 송파구 올림픽로 424,37.51670 ,127.12498 
유적지,운현궁,3호선,안국역,서울 종로구 삼일대로 464,37.57606 ,126.98705 
유적지,월계동각심재,1호선,월계역,서울 노원구 월계동,37.63405 ,127.05077 
유적지,유관순동상,6호선,버티고개역,서울 중구 장충동2가,37.55506 ,127.00327 
공연장,유니버설아트센터,5호선,아차산역,서울 광진구 천호대로 664,37.55083 ,127.08794 
공연장,유니플렉스,4호선,혜화역,서울 종로구 대학로12길 64,37.58117 ,127.00369 
